x,y,label,group
0.061005646615771555,0.5334758999059107,#2800ff,0
0.18248990379236624,0.4007303168473183,#0028ff,1
0.33116075768541164,0.189308606822066,#0092ff,2
0.4701259150719166,0.2844746171591752,#00b2ff,3
0.526983571085415,0.13247358723043012,#00ffff,4
0.4521140704486356,-0.13389152359834433,#00ff61,5
0.10146771147824536,-0.4229070729322607,#77ff00,6
0.0067509114400176205,-0.5531179160141612,#b3ff00,7
-0.037144354487103425,-0.2901135431944858,#fff200,8
-0.14411738751289702,-0.22050411526442248,#ffbe00,9
-0.2817905163468493,-0.21885839561322784,#ff9b00,10
-0.4292551419001614,0.04416695924581232,#ff5700,11
-0.6301839181984342,0.14295355114966007,#ff0000,12
-0.6335946993974692,0.14123128429703372,#ff0000,13
