x,y,label,group
-0.01833761557890426,-0.4590161289711224,Clarinet,3
-0.229292781299761,-0.3728943264100051,Saxophone,3
-0.49984963634103385,-0.057780352407030305,Trumpet,0
-0.006957847782128499,0.28981013238147046,Cello,2
-0.27454089601291365,-0.09283587631019219,FrenchHorn,0
0.36569167608744435,-0.10386766317299313,Oboe,3
0.41071662369890716,0.2610389592303552,Flute,3
0.3827179406717858,-0.24222443563895046,EnglishHorn,3
0.34757389650559084,-0.38302743127875116,Bassoon,3
-0.6288945737278947,0.19530620513411395,Trombone,0
0.10509924188397851,0.7200258104445366,Piano,1
0.042822390069931174,0.22505864492912067,Violin,2
