x,y,label,group
-0.22447682130946273,0.500835300308679,Clarinet,2
-0.09709284595687526,0.488804202990635,Saxophone,3
-0.24633036849084736,-0.2656253488699941,Trumpet,2
0.4793656227810346,-0.01375738344526005,Cello,3
0.04559592053516179,-0.5082438487947629,FrenchHorn,0
-0.3529220989083222,0.26605668202957977,Oboe,0
0.4548652919558185,-0.3629325708751321,Flute,3
-0.24836358421251065,0.008350176255685474,EnglishHorn,3
-0.07130402312657155,-0.5187734996954683,Bassoon,3
-0.4677207676145242,-0.07361743587188632,Trombone,3
0.5232684019119255,0.31915938299979885,Piano,0
0.2842669672221171,0.09989520051095026,Violin,1
