x,y,label,group
-0.10632436862171955,-0.44388797737745667,salt,0
-0.03342991572149128,-0.5031543504606942,salt substitute,1
0.1343023731102941,-0.44962004754379203,MSG,2
0.6234883824921713,0.04738146102731235,quinine,3
0.15193422010763516,0.6162065700815585,acid,4
-0.27512016350814555,0.1729800325940999,sugar,5
-0.5470414293983547,0.1858642063855677,artificial sweetener,6
-0.169346450376726,-0.11814504282398008,salt-sugar,7
-0.09211980233685622,0.382183000215497,acid-sugar,8
0.3625695972243073,0.12211729972445864,quinine-sugar,9
