x,y,label,group
0.09588664330013764,0.4487994096722072,salt,0
-0.02286282018983374,0.4191480900226179,salt substitute,1
-0.16600032613815277,0.3553914390891649,MSG,2
-0.401569711548307,0.16178300461907366,quinine,3
-0.45605677587958865,0.05210530748747379,acid,4
0.1331362426099382,-0.6261599014160077,sugar,5
0.13724096554960807,-0.4102889911060208,artificial sweetener,6
-0.20820057891921373,-0.37608249111204967,salt-sugar,7
0.5072965494677033,0.11605273063943505,acid-sugar,8
0.4681631600084142,-0.1314636299275345,quinine-sugar,9
