x,y,label,group
-0.014359980931162445,-0.2686126178600819,p,1
-0.1758671743138832,0.11100765160355043,t,0
-0.15615461943754325,-0.6040998060178219,k,5
-0.39242653570929936,-0.23710497134257244,f,3
-0.5323413276115372,0.45957601879875054,θ,2
0.13317254174529075,0.41458190311120646,s,0
0.11840397859007717,0.6386781819446892,ʃ,4
0.16613113682620503,-0.34290295585616376,b,1
-0.04908161441087493,-0.11797087571179478,d,0
0.10630461402032944,-0.516142702969654,g,5
-0.2714548135180961,-0.08609862495193954,v,3
-0.427818203958748,0.2663080845418299,ð,2
0.26459701043872885,0.33172553509672875,z,0
0.4444784092288878,0.44798573051668994,ʒ,4
0.5351079201996761,-0.37500753477566096,m,1
0.3861282218115834,-0.05198088858482725,n,0
