x,y,label,group
-0.23958761750326113,0.41526270436522494,Clarinet,2
-0.35962587495362547,0.21941392381124372,Saxophone,3
-0.32942286592905073,-0.3881071623825237,Trumpet,2
0.0976715216610456,-0.24336841860971717,Cello,3
-0.27443679049369113,-0.01507360069016132,FrenchHorn,0
0.2629599779982943,0.2675356459757515,Oboe,0
0.4928528091904006,-0.0603099205127334,Flute,3
0.21368613682349158,0.3969440893664618,EnglishHorn,3
0.10341861959521687,0.508214036237393,Bassoon,3
-0.5755981335975594,-0.2908516314503048,Trombone,3
0.443395391196285,-0.5959851528054647,Piano,0
0.15038694633660726,-0.18768984497269386,Violin,1
